FN	FACID	FASAT	FAMS	FAPU	FAPUN3	FAPUN6	F4D0	F6D0	F7D0	F8D0	F10D0	F12D0	F13D0	F14D0	F15D0	F15D0AI	F16D0	F16D0I	F17D0	F17D0AI	F18D0	F20D0	F22D0	F24D0	F10D1	F14D1	F15D1	F16D1	F17D1	F18D1	F18D1CN9	F18D1CN7	F20D1	F22D1	F24D1	F16D2	F16D3	F16D4	F18D2N6	F18D3N3	F18D3N6	F18D4N3	F20D2N6	F20D3N3	F20D3N6	F20D4N3	F20D4N6	F20D5N3	F21D5N3	F22D2	F22D4N6	F22D5N3	F22D5N6	F22D6N3	FAUN	NoticeFA		
01147	0.96	0.33	0.16	0.47	0.03	0.44	-	-	-	-	1	1	-	3	1	-	240	-	2	-	75	3	3	3	0	0	0	2	Tr	150	140	10	4	2	1	0	0	0	440	26	0	0	1	-	0	0	0	0	0	0	0	0	0	0	-			
01025	1.04	0.32	0.14	0.58	0.03	0.55	-	-	-	-	0	0	-	2	2	-	280	-	2	-	33	1	2	2	0	0	0	3	1	130	120	9	5	0	1	0	0	0	550	29	0	0	1	-	0	0	1	0	0	0	0	0	0	0	-			
01171	(0.42)	(0.13)	(0.06)	(0.24)	(0.01)	(0.22)	-	-	-	-	(0)	(0)	-	(1)	(1)	-	(110)	-	(1)	-	(13)	(1)	(1)	(1)	(0)	(0)	(0)	(1)	(Tr)	(52)	-	-	(2)	(0)	(Tr)	(0)	(0)	(0)	(220)	(12)	(0)	(0)	(Tr)	(0)	(0)	(0)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	天ぷら粉39、水61<br>01025プレミックス粉天ぷら用から推計		
01026	3.57	1.50	1.24	0.82	0.05	0.77	-	-	-	-	20	57	-	92	9	-	1100	-	8	-	210	14	5	4	1	5	Tr	22	0	1200	1200	37	10	5	1	0	1	0	770	51	0	0	1	-	Tr	Tr	Tr	0	0	0	0	1	0	0	120	原材料配合割合から推計		
01174	3.85	1.63	1.33	0.90	0.06	0.84	-	-	-	-	22	63	-	98	9	-	1200	-	8	-	230	14	5	5	2	5	Tr	23	0	1300	1200	39	10	6	1	0	1	0	840	54	0	0	1	-	Tr	Tr	Tr	0	0	0	0	1	0	0	120			
01175	3.23	1.37	1.12	0.74	0.05	0.69	-	-	-	-	18	53	-	84	8	-	990	-	7	-	190	13	4	4	1	5	Tr	20	0	1100	1000	33	9	6	1	0	1	0	690	44	0	0	1	-	Tr	Tr	Tr	0	0	0	0	1	0	0	110	※ 耳の割合： 45 %、耳以外の割合 : 55 %		
01028	(3.39)	(1.64)	(1.00)	(0.75)	(0.04)	(0.71)	(Tr)	(1)	(0)	(19)	(16)	(180)	(0)	(87)	(3)	(0)	(1100)	(0)	(4)	(0)	(180)	(10)	(4)	(2)	(0)	(Tr)	(0)	(10)	(1)	(960)	-	-	(9)	(16)	(0)	(0)	(0)	(0)	(710)	(35)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	原材料配合割合から推計		
01213	4.22	1.81	1.53	0.88	0.05	0.83	-	-	-	-	3	32	-	40	4	-	1400	-	5	-	320	16	6	6	0	0	0	14	2	1500	1500	37	12	2	1	0	0	0	830	52	0	0	1	-	0	0	0	0	0	0	0	0	0	0	91			
01030	(3.86)	(1.70)	(1.01)	(1.15)	(0.06)	(1.09)	(Tr)	(1)	(0)	(17)	(15)	(160)	(0)	(80)	(3)	(0)	(1200)	(0)	(5)	(0)	(170)	(10)	(4)	(2)	(0)	(Tr)	(0)	(19)	(2)	(960)	-	-	(11)	(15)	(0)	(0)	(0)	(0)	(1100)	(56)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	原材料配合割合から推計		
01031	(1.07)	(0.29)	(0.14)	(0.63)	(0.03)	(0.60)	-	-	-	-	(0)	(0)	-	(2)	(1)	-	(270)	-	(2)	(0)	(15)	(1)	(0)	(0)	(0)	(0)	(0)	(14)	(Tr)	(120)	-	-	(4)	(0)	(0)	(0)	(0)	(0)	(600)	(32)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	原材料配合割合から推計		
