FN	FIBSOL	FIBINS	FIBTG	FIBSDFS	FIBSDFP	FIBIDF	STARES	FIBTDF	NoticeFIB				
01066	1.1	2.6	3.7	-	-	-	-	-					
01067	1.5	2.3	3.8	-	-	-	-	-					
01068	1.1	1.5	2.6	-	-	-	-	-					
01070	0.7	13.6	14.3	-	-	-	-	-					
01071	0.5	1.9	2.4	-	-	-	-	-					
01072	0	0.4	0.4	-	-	-	-	-					
01073	0	0.5	0.5	-	-	-	-	-					
01074	1.0	1.2	2.2	-	-	-	-	-					
01075	1.0	1.2	2.2	-	-	-	-	-					
01179	-	-	-	2.1	1.2	1.2	0.4	4.5					
01180	-	-	-	1.9	1.2	1.1	0.5	4.2					
01076	0.8	1.5	2.3	-	-	-	-	-					
01069	0.6	0.9	1.5	-	-	-	-	-					
01077	1.2	1.8	3.0	-	-	-	-	-					
01078	1.4	2.1	3.5	-	-	-	-	-					
01079	1.4	2.1	3.5	1.4	1.8	3.4	1.1	6.5					
01150	0.6	0.6	1.1	-	-	-	-	-					
01080	0.7	2.3	3.0	-	-	-	-	-					
01081	0.4	1.0	1.4	-	-	-	-	-					
01082	0.2	0.7	0.9	-	-	-	-	-					
01083	Tr	0.5	0.5	-	-	-	-	-					
01151	(Tr)	(0.5)	(0.5)	-	-	-	-	-	01083水稲穀粒うるち米から推計				
01152	0.1	0.4	0.5	-	-	-	-	-					
01084	0.3	1.0	1.3	-	-	-	-	-					
01153	0.5	2.6	3.1	-	-	-	-	-					
01181	-	-	-	0.5	0.6	5.4	0.2	6.5					
01182	-	-	-	0.8	0.9	3.9	0.2	5.6					
01085	0.2	1.2	1.4	-	-	-	-	-					
01086	0.2	0.6	0.8	-	-	-	-	-					
01087	0.1	0.4	0.5	-	-	-	-	-					
01168	0	0.4	0.4	-	-	-	-	-					
01088	0	0.3	0.3	0.9	Tr	0.6	0.1	1.5					
01154	(0)	(0.4)	(0.4)	-	-	-	-	-	01088水稲めしうるち米から推計				
01089	0.2	0.6	0.8	-	-	-	-	-					
01155	0.2	1.6	1.8	-	-	-	-	-					
01183	-	-	-	0.9	0.2	2.3	0.1	3.4					
01184	-	-	-	1.0	0.3	2.0	0.1	3.3					
01185	(0)	(0.3)	(0.3)	(0.7)	(Tr)	(0.4)	(0.1)	(1.1)	01088水稲めしうるち米から推計				
01090	(0.1)	(0.5)	(0.6)	-	-	-	-	-					
01091	(0.1)	(0.2)	(0.3)	-	-	-	-	-					
01092	(Tr)	(0.2)	(0.2)	-	-	-	-	-					
01093	(0)	(0.1)	(0.1)	-	-	-	-	-					
01094	(Tr)	(0.3)	(0.3)	-	-	-	-	-					
01095	(Tr)	(0.1)	(0.1)	-	-	-	-	-					
01096	(Tr)	(0.1)	(0.1)	-	-	-	-	-					
01097	(0)	(0.1)	(0.1)	-	-	-	-	-					
01098	(Tr)	(0.2)	(0.2)	-	-	-	-	-					
01099	(Tr)	(0.1)	(0.1)	-	-	-	-	-					
01100	(Tr)	(Tr)	(Tr)	-	-	-	-	-					
01101	(0)	(Tr)	(Tr)	-	-	-	-	-					
01102	0.7	2.3	3.0	-	-	-	-	-					
01103	0.4	1.0	1.4	-	-	-	-	-					
01104	0.2	0.7	0.9	-	-	-	-	-					
01105	Tr	0.5	0.5	-	-	-	-	-					
01106	0.2	1.2	1.4	-	-	-	-	-					
01107	0.2	0.6	0.8	-	-	-	-	-					
01108	0.1	0.4	0.5	-	-	-	-	-					
01109	0	0.3	0.3	-	-	-	-	-					
01110	0.2	1.0	1.2	-	-	-	-	-					
01156	0.2	1.0	1.2	-	-	-	-	-					
01214	-	-	-	0.3	0.1	0.5	0.1	0.9					
01215	-	-	-	0.2	Tr	0.2	0.1	0.5					
01111	0	0.4	0.4	-	-	-	-	-					
01112	0	0.4	0.4	-	-	-	-	-					
01113	0	0.4	0.4	-	-	-	-	-					
01114	Tr	0.6	0.6	-	-	-	-	-					
01157	0.6	2.9	3.5	-	-	-	-	-					
01158	Tr	0.6	0.6	-	-	-	-	-					
01211	(0.1)	(0.6)	(0.7)	-	-	-	-	-					
01212	(0.1)	(0.5)	(0.6)	-	-	-	-	-					
01159	0.1	0.8	0.9	-	-	-	-	-					
01160	0.3	0.6	0.9	-	-	-	-	-					
01115	0	0.9	0.9	-	-	-	-	-					
01169	0.2	0.6	0.8	-	-	-	-	-					
01116	0.2	1.2	1.4	-	-	-	-	-					
01117	0	0.5	0.5	-	-	-	-	-					
01118	0.1	1.5	1.6	-	-	-	-	-					
01119	0	0.2	0.2	-	-	-	-	-					
01120	Tr	0.5	0.5	-	-	-	-	-					
01121	0	0.7	0.7	-	-	-	-	-					
01161	2.2	18.3	20.5	-	-	-	-	-					
01122	0.8	3.5	4.3	-	-	-	-	-					
01123	0.5	1.3	1.8	-	-	-	-	-					
01124	1.3	3.1	4.4	-	-	-	-	-					
01125	1.1	6.0	7.1	-	-	-	-	-					
01126	1.0	2.7	3.7	-	-	-	-	-					
01127	-	-	-	1.8	1.6	2.6	0.2	6.0					
01128	0.5	1.5	2.0	0.9	0.8	1.2	0.1	2.9					
01197	1.1	2.0	3.1	2.1	1.9	3.0	0.3	6.9					
01129	1.6	2.1	3.7	-	-	-	-	-					
01130	0.5	1.0	1.5	-	-	-	-	-					
01131	0.6	8.4	9.0	-	-	-	-	-					
01162	0.6	8.4	9.0	-	-	-	-	-					
01132	0.6	7.4	8.0	-	-	-	-	-					
01163	0.6	7.4	8.0	-	-	-	-	-					
01133	0.1	2.3	2.4	-	-	-	-	-					
01164	0.1	2.3	2.4	-	-	-	-	-					
01134	0.2	1.5	1.7	-	-	-	-	-					
01165	0.2	1.5	1.7	-	-	-	-	-					
01135	0.6	9.9	10.5	-	-	-	-	-					
01136	0.2	9.1	9.3	-	-	-	-	-					
01137	0.3	2.1	2.4	-	-	-	-	-					
01138	0	0.6	0.6	-	-	-	-	-					
01139	0.4	3.9	4.3	-	-	-	-	-					
01140	0.7	9.0	9.7	-	-	-	-	-					
01141	0.4	4.0	4.4	-	-	-	-	-					
01142	3.2	10.1	13.3	-	-	-	-	-					
01143	4.7	8.2	12.9	-	-	-	-	-					
02068	-	-	-	0.8	1.8	8.5	0.3	11.1					
02069	-	-	-	0.9	3.2	4.2	1.5	8.4					
02001	0.5	1.4	1.9	-	-	-	-	-					
02041	0.5	1.6	2.1	-	-	-	-	-					
02002	73.3	6.6	79.9	-	-	-	-	-					
02003	0.1	2.1	2.2	-	-	-	-	-					
02004	Tr	3.0	3.0	-	-	-	-	-					
02042	0.1	2.3	2.3	-	-	-	-	-					
02043	0.9	70.4	71.3	-	-	-	-	-					
02044	0.2	15.3	15.5	-	-	-	-	-					
02005	0	2.9	2.9	-	-	-	-	-					
02045	0.9	1.8	2.8	-	-	-	-	-					
02046	1.0	2.8	3.8	-	-	-	-	-					
02047	0.9	2.2	3.1	-	-	-	-	-					
02006	0.6	1.6	2.2	-	-	-	-	-					
02007	0.6	1.7	2.3	-	-	-	-	-					
02008	1.1	2.4	3.5	0.7	1.4	2.3	0.5	4.5					
02009	2.4	3.5	5.9	1.3	2.6	4.3	0.8	8.2					
02048	0.8	1.7	2.5	-	-	-	-	-					
02049	0.9	2.1	3.0	-	-	-	-	-					
02010	0.8	1.5	2.3	-	-	-	-	-					
