FN	FIBSOL	FIBINS	FIBTG	FIBSDFS	FIBSDFP	FIBIDF	STARES	FIBTDF	NoticeFIB				
06031	0.5	2.2	2.7	-	-	-	-	-					
06032	1.4	3.6	5.0	-	-	-	-	-					
06033	1.6	3.6	5.2	Tr	1.7	3.7	-	5.4					
06034	0.3	2.6	2.9	-	-	-	-	-					
06035	0.5	3.2	3.7	-	-	-	-	-					
06036	0.3	1.2	1.5	-	-	-	-	-					
06037	0.5	1.3	1.8	-	-	-	-	-					
06038	0.3	1.1	1.4	-	-	-	-	-					
06039	0.5	1.2	1.7	-	-	-	-	-					
06040	0.8	2.8	3.6	-	-	-	-	-					
06041	0.5	1.4	1.9	-	-	-	-	-					
06042	0.4	1.6	2.0	-	-	-	-	-					
06043	0.8	3.2	4.0	-	-	-	-	-					
06044	0.5	1.5	2.0	-	-	-	-	-					
06045	0.7	1.1	1.8	-	-	-	-	-					
06046	0.7	2.1	2.8	-	-	-	-	-					
06047	0.8	2.8	3.6	0.1	1.1	1.8	-	3.0					
06048	0.9	2.6	3.5	-	-	-	-	-					
06049	0.9	3.2	4.1	-	-	-	-	-					
06332	1.3	3.9	5.3	-	-	-	-	-					
06050	0.9	3.3	4.2	-	-	-	-	-					
06051	0.3	1.2	1.5	-	-	-	-	-					
06052	0.9	2.8	3.7	-	-	-	-	-					
06053	1.0	4.0	5.0	-	-	-	-	-					
06054	0.4	2.5	2.9	-	-	-	-	-					
06055	0.7	2.5	3.2	-	-	-	-	-					
06056	6.8	23.3	30.1	-	-	-	-	-					
06057	1.9	3.4	5.3	-	-	-	-	-					
06364	2.6	2.9	5.5	-	-	-	-	-					
06058	0.8	2.6	3.4	-	-	-	-	-					
06059	0.8	2.1	2.9	-	-	-	-	-					
06060	8.2	21.4	29.6	-	-	-	-	-					
06061	0.4	1.4	1.8	0.1	0.2	1.5	-	1.8					
06062	0.5	1.5	2.0	-	-	-	-	-					
06333	0.6	1.6	2.2	-	-	-	-	-					
06403	-	-	-	Tr	0.2	1.7	-	1.9					
06404	-	-	-	0.1	0.3	1.7	-	2.0					
06063	0.3	1.3	1.6	-	-	-	-	-					
06064	0.6	2.2	2.8	-	-	-	-	-					
06065	0.2	0.9	1.1	-	-	-	-	-					
06066	0.3	1.0	1.3	-	-	-	-	-					
06067	0.7	2.7	3.4	-	-	-	-	-					
06068	0.4	1.1	1.5	-	-	-	-	-					
06069	0.3	1.4	1.7	-	-	-	-	-					
06070	0.3	1.1	1.4	-	-	-	-	-					
06071	0.5	2.8	3.3	-	-	-	-	-					
06075	0.3	2.2	2.5	-	-	-	-	-					
06076	0.6	2.3	2.9	-	-	-	-	-					
06077	0.2	2.3	2.5	-	-	-	-	-					
06078	0.6	1.8	2.4	-	-	-	-	-					
06079	0.8	2.0	2.8	-	-	-	-	-					
06080	0.5	3.2	3.7	-	-	-	-	-					
06081	0.3	1.6	1.9	-	-	-	-	-					
06082	0.7	1.6	2.3	-	-	-	-	-					
06083	0.5	4.7	5.2	-	-	-	-	-					
06084	2.3	3.4	5.7	-	-	-	-	-					
06085	2.7	3.4	6.1	-	-	-	-	-					
06405	-	-	-	6.1	6.4	5.8	Tr	18.3					
06086	0.4	1.5	1.9	-	-	-	-	-					
06087	0.6	1.8	2.4	-	-	-	-	-					
06385	-	-	-	Tr	0.8	3.3	-	4.2					
06088	0.9	3.7	4.6	-	-	-	-	-					
06089	0.4	1.8	2.2	-	-	-	-	-					
06090	0.7	1.8	2.5	-	-	-	-	-					
06091	0.5	2.5	3.0	-	-	-	-	-					
06092	0.2	3.0	3.2	-	-	-	-	-					
06093	0.3	3.3	3.6	-	-	-	-	-					
06094	0.3	3.3	3.6	-	-	-	-	-					
06406	-	-	0	0.1	0.6	2.4	0	3.2					
06095	0.8	6.5	7.3	-	-	-	-	-					
06096	0.8	8.1	8.9	-	-	-	-	-					
06097	0.3	3.9	4.2	-	-	-	-	-					
06098	1.2	3.3	4.5	-	-	-	-	-					
06099	0.8	2.4	3.2	-	-	-	-	-					
06100	1.1	2.6	3.7	-	-	-	-	-					
06101	0.4	0.6	1.0	-	-	-	-	-					
06102	0.1	1.5	1.6	-	-	-	-	-					
06103	0.2	1.9	2.1	-	-	-	-	-					
06365	0.2	7.3	7.4	-	-	-	-	-					
06366	0.2	0.2	0.3	-	-	-	-	-					
06104	0.2	2.0	2.2	-	-	-	-	-					
06105	0.2	1.6	1.8	-	-	-	-	-					
06386	-	-	-	0	0.2	1.7	Tr	1.9					
06106	0.2	1.0	1.2	-	-	-	-	-					
06107	0.3	1.9	2.2	-	-	-	-	-					
06108	0.8	1.8	2.6	-	-	-	-	-					
06109	0.4	1.2	1.6	-	-	-	-	-					
06110	0.3	1.8	2.1	-	-	-	-	-					
06111	4.8	21.0	25.8	-	-	-	-	-					
06112	0.3	2.8	3.1	-	-	-	-	-					
06387	-	-	-	Tr	1.5	2.4	-	4.0					
06113	0.7	3.3	4.0	-	-	-	-	-					
06114	0.6	1.1	1.7	-	-	-	-	-					
06115	0.9	4.3	5.2	-	-	-	-	-					
06116	0.2	1.1	1.3	-	-	-	-	-					
06117	0.4	2.1	2.5	-	-	-	-	-					
06118	0.6	2.2	2.8	-	-	-	-	-					
06119	0.3	1.2	1.5	-	-	-	-	-					
06120	0.7	3.1	3.8	-	-	-	-	-					
06121	0.6	2.9	3.5	-	-	-	-	-					
06122	6.1	28.7	34.8	-	-	-	-	-					
06123	0.7	4.5	5.2	-	-	-	-	-					
06124	0.2	2.4	2.6	-	-	-	-	-					
06125	0.4	3.6	4.0	-	-	-	-	-					
06126	0.2	1.7	1.9	-	-	-	-	-					
06127	0.3	1.8	2.1	-	-	-	-	-					
06128	0.3	1.6	1.9	-	-	-	-	-					
06129	0.5	2.1	2.6	-	-	-	-	-					
06130	0.8	3.2	4.0	-	-	-	-	-					
06131	0.8	2.8	3.6	-	-	-	-	-					
06132	0.5	0.9	1.4	-	-	-	-	-					
06133	0.5	1.1	1.6	-	-	-	-	-					
06134	0.5	0.8	1.3	-	-	-	-	-					
06367	1.4	3.7	5.1	-	-	-	-	-					
06368	Tr	Tr	0.1	-	-	-	-	-					
06369	1.0	3.8	4.7	-	-	-	-	-					
06135	0.8	0.9	1.7	-	-	-	-	-					
06136	5.2	16.1	21.3	-	-	-	-	-					
06334	0.6	3.2	3.7	-	-	-	-	-					
06335	1.5	4.1	5.6	-	-	-	-	-					
06388	-	-	-	0.3	1.0	5.8	-	7.1					
06137	0.7	1.1	1.8	-	-	-	-	-					
06138	0.7	1.6	2.3	-	-	-	-	-					
06139	0.6	3.1	3.7	-	-	-	-	-					
06140	1.0	2.3	3.3	-	-	-	-	-					
06141	0.6	1.0	1.6	-	-	-	-	-					
06142	0.5	1.6	2.1	-	-	-	-	-					
06143	0.8	3.1	3.9	-	-	-	-	-					
06144	0.3	2.0	2.3	-	-	-	-	-					
06145	0.4	1.2	1.6	-	-	-	-	-					
06146	0.2	2.3	2.5	-	-	-	-	-					
06147	0.8	1.7	2.5	-	-	-	-	-					
06148	0.8	3.2	4.0	-	-	-	-	-					
06149	0.3	2.5	2.8	-	-	-	-	-					
06150	0.4	2.9	3.3	-	-	-	-	-					
06151	0.5	1.8	2.3	-	-	-	-	-					
06152	0.3	3.2	3.5	-	-	-	-	-					
06153	0.4	1.0	1.5	-	-	-	-	-					
06154	0.5	1.0	1.5	-	-	-	-	-					
06155	0.7	1.0	1.7	-	-	-	-	-					
06336	1.7	0.9	2.7	-	-	-	-	-					
06156	0.6	1.1	1.7	-	-	-	-	-					
06337	0.7	2.3	3.0	-	-	-	-	-					
06157	1.1	3.1	4.2	-	-	-	-	-					
06158	1.1	2.5	3.6	-	-	-	-	-					
06159	0.2	0.9	1.1	-	-	-	-	-					
06376	1.3	2.6	3.9	-	-	-	-	-					
06377	1.5	2.8	4.3	-	-	-	-	-					
06160	0.2	1.0	1.2	-	-	-	-	-					
06161	0.3	1.2	1.5	-	-	-	-	-					
06338	0.4	1.0	1.4	-	-	-	-	-					
06162	1.2	6.9	8.1	-	-	-	-	-					
06163	1.1	5.6	6.7	-	-	-	-	-					
06164	0.5	1.8	2.3	-	-	-	-	-					
06390	-	-	-	8.2	2.5	6.4	-	17.1					
06165	0.6	1.6	2.2	-	-	-	-	-					
06166	0.5	2.6	3.1	-	-	-	-	-					
06167	0.4	2.1	2.5	-	-	-	-	-					
06168	0.2	2.1	2.3	-	-	-	-	-					
06169	0.7	5.0	5.7	-	-	-	-	-					
06170	0.8	5.5	6.3	-	-	-	-	-					
06171	1.4	8.9	10.3	-	-	-	-	-					
06172	5.4	41.0	46.4	-	-	-	-	-					
06173	0.4	0.9	1.3	-	-	-	-	-					
06174	0.5	1.0	1.5	-	-	-	-	-					
06175	0.3	2.7	3.0	-	-	-	-	-					
06176	0.3	2.8	3.1	-	-	-	-	-					
06339	0.3	3.1	3.4	-	-	-	-	-					
06177	0.3	2.5	2.8	-	-	-	-	-					
06178	0.2	2.6	2.8	0.1	0.6	4.1	0.2	4.8					
06378	-	-	-	0.1	0.6	5.5	0.2	6.2					
06379	-	-	-	0.1	0.6	4.0	0.3	4.7					
06179	0.2	1.6	1.8	-	-	-	-	-					
06180	0.7	2.6	3.3	-	-	-	-	-					
06181	0.2	2.5	2.7	-	-	-	-	-					
06182	0.3	0.7	1.0	-	-	-	-	-					
06183	0.4	1.0	1.4	-	-	-	-	-					
06391	-	-	-	Tr	0.3	0.9	-	1.3					
06370	6.4	15.3	21.7	-	-	-	-	-					
06184	0.5	0.8	1.3	-	-	-	-	-					
06185	0.3	0.4	0.7	-	-	-	-	-					
06340	0.3	0.4	0.7	-	-	-	-	-					
06186	0.4	0.3	0.7	-	-	-	-	-					
06341	0.4	0.3	0.7	-	-	-	-	-					
06187	0.5	1.5	2.0	-	-	-	-	-					
06188	0.6	6.5	7.1	-	-	-	-	-					
06189	0.4	1.8	2.2	-	-	-	-	-					
06190	0.7	1.7	2.4	-	-	-	-	-					
06191	0.3	1.9	2.2	-	-	-	-	-					
06192	0.7	1.4	2.1	-	-	-	-	-					
06342	0.9	1.8	2.6	-	-	-	-	-					
06343	0.7	1.3	1.9	-	-	-	-	-					
06193	0.3	2.1	2.4	-	-	-	-	-					
06194	0.7	1.1	1.8	-	-	-	-	-					
06195	0.5	2.2	2.7	-	-	-	-	-					
06196	0.6	2.1	2.7	-	-	-	-	-					
06197	0.8	3.4	4.2	-	-	-	-	-					
06198	1.0	3.2	4.2	-	-	-	-	-					
06199	0.6	3.8	4.4	-	-	-	-	-					
06200	0.5	4.9	5.4	-	-	-	-	-					
06201	0.7	3.5	4.2	-	-	-	-	-					
06202	1.3	3.0	4.3	-	-	-	-	-					
06203	0.7	3.0	3.7	-	-	-	-	-					
06204	1.1	3.0	4.1	-	-	-	-	-					
06205	0.5	2.1	2.6	-	-	-	-	-					
06206	0.5	2.3	2.8	-	-	-	-	-					
06207	0.5	2.2	2.7	-	-	-	-	-					
06208	0.8	3.5	4.3	-	-	-	-	-					
06344	1.3	2.2	3.5	-	-	-	-	-					
06209	0.5	2.3	2.8	-	-	-	-	-					
06210	0.4	1.6	2.0	-	-	-	-	-					
06211	0.5	2.2	2.7	-	-	-	-	-					
06212	0.7	2.1	2.8	-	-	-	-	-					
06213	1.0	1.9	3.0	-	-	-	-	-					
06214	0.8	1.9	2.7	0.1	0.6	2.0	-	2.8					
06215	0.8	2.0	2.8	-	-	-	-	-					
06345	1.0	2.1	3.1	-	-	-	-	-					
06346	0.3	0.8	1.1	-	-	-	-	-					
06407	-	-	-	0.1	0.6	2.1	-	2.7					
06408	-	-	-	0.1	0.5	2.1	-	2.6					
06347	1.3	2.5	3.8	-	-	-	-	-					
06216	1.0	1.8	2.9	0.1	1.1	2.9	0	4.1					
06380	-	-	-	Tr	1.5	1.9	0	3.5					
06381	-	-	-	0.1	1.5	2.7	0	4.2					
06348	1.4	1.2	2.6	-	-	-	-	-					
06217	0.2	0	0.2	-	-	-	-	-					
06218	1.5	2.4	3.9	-	-	-	-	-					
06219	2.0	2.3	4.3	-	-	-	-	-					
06220	1.4	2.2	3.6	-	-	-	-	-					
06221	1.9	2.2	4.1	-	-	-	-	-					
06409	-	-	-	0.1	1.1	2.7	0	3.9					
06222	0.6	2.1	2.7	-	-	-	-	-					
06223	4.1	2.1	6.2	-	-	-	-	-					
06349	4.5	2.3	6.8	-	-	-	-	-					
06224	0.7	3.1	3.8	-	-	-	-	-					
06225	1.0	2.8	3.8	-	-	-	-	-					
06226	0.3	2.2	2.5	-	-	-	-	-					
06350	1.0	1.5	2.5	-	-	-	-	-					
06351	0.9	1.7	2.7	-	-	-	-	-					
06227	0.3	2.9	3.2	-	-	-	-	-					
06352	1.7	2.1	3.9	-	-	-	-	-					
06410	-	-	-	0.4	0.4	2.5	0	3.3					
06228	0.2	2.3	2.5	-	-	-	-	-					
06411	-	-	-	Tr	0.2	1.6	0	1.8					
06229	0.5	1.5	2.0	-	-	-	-	-					
06230	0.2	2.3	2.5	-	-	-	-	-					
06231	0.5	2.6	3.1	-	-	-	-	-					
06232	3.3	3.6	6.9	-	-	-	-	-					
06233	0.3	1.0	1.3	-	-	-	-	-					
06234	0.4	1.0	1.4	-	-	-	-	-					
06235	0.3	1.5	1.8	-	-	-	-	-					
06236	0.6	1.6	2.2	-	-	-	-	-					
06237	0.4	1.4	1.8	-	-	-	-	-					
06238	0.9	3.1	4.0	-	-	-	-	-					
06239	0.6	6.2	6.8	-	-	-	-	-					
06240	0.2	1.0	1.2	-	-	-	-	-					
06392	-	-	-	0.1	0.3	2.8	-	3.1					
06241	0.2	1.0	1.2	-	-	-	-	-					
06242	0.3	1.3	1.6	-	-	-	-	-					
06353	0.2	1.0	1.2	-	-	-	-	-					
06243	0.7	2.0	2.7	-	-	-	-	-					
06244	0.8	2.1	2.9	-	-	-	-	-					
06245	0.6	1.7	2.3	-	-	-	-	-					
06246	0.6	1.8	2.4	-	-	-	-	-					
06247	0.5	1.1	1.6	-	-	-	-	-					
06248	0.5	1.1	1.6	-	-	-	-	-					
06393	-	-	-	Tr	0.9	0.9	-	1.8					
06249	0.4	0.9	1.3	-	-	-	-	-					
06250	0.4	0.9	1.3	-	-	-	-	-					
06251	0.6	1.0	1.6	-	-	-	-	-					
06252	0.7	2.3	3.0	-	-	-	-	-					
06253	0.9	3.8	4.7	-	-	-	-	-					
06254	0.4	2.0	2.4	-	-	-	-	-					
06255	0.8	1.6	2.4	-	-	-	-	-					
06256	0.1	1.2	1.3	-	-	-	-	-					
06257	0.1	1.0	1.1	-	-	-	-	-					
06258	1.0	5.4	6.4	-	-	-	-	-					
06259	0.9	3.3	4.2	-	-	-	-	-					
06260	0.5	3.9	4.4	-	-	-	-	-					
06261	0.5	2.8	3.3	-	-	-	-	-					
06262	0.5	3.3	3.8	-	-	-	-	-					
06263	0.9	4.3	5.1	-	-	-	-	-					
06264	1.0	3.3	4.3	-	-	-	-	-					
06354	0.3	1.5	1.8	-	-	-	-	-					
06265	0.5	0.5	1.0	-	-	-	-	-					
06266	0.6	0.9	1.5	-	-	-	-	-					
06267	0.7	2.1	2.8	-	-	-	-	-					
06268	0.6	3.0	3.6	-	-	-	-	-					
06359	0.8	3.8	4.6	-	-	-	-	-					
06355	0.7	2.1	2.8	-	-	-	-	-					
06357	0.6	3.0	3.6	-	-	-	-	-					
06356	0.7	2.1	2.8	-	-	-	-	-					
06358	0.6	3.0	3.6	-	-	-	-	-					
06269	0.7	2.6	3.3	-	-	-	-	-					
06372	0.8	4.0	4.8	Tr	1.3	3.1	-	4.5					
06373	0.8	3.3	4.1	-	-	-	-	-					
06270	0.8	7.4	8.2	-	-	-	-	-					
06271	0.2	2.1	2.3	-	-	-	-	-					
06272	0.9	1.9	2.8	-	-	-	-	-					
06273	1.3	2.7	4.0	-	-	-	-	-					
06072	0.6	2.4	3.0	-	-	-	-	-					
06073	0.8	2.8	3.6	-	-	-	-	-					
06074	0.5	3.0	3.5	-	-	-	-	-					
06274	0.4	2.1	2.5	-	-	-	-	-					
06275	0.4	2.3	2.7	-	-	-	-	-					
06276	0.5	2.4	2.9	-	-	-	-	-					
06277	0.6	2.7	3.3	-	-	-	-	-					
06278	0.3	2.0	2.3	-	-	-	-	-					
06279	0.4	2.6	3.0	-	-	-	-	-					
06360	0.3	1.5	1.8	-	-	-	-	-					
06280	0.4	1.7	2.1	-	-	-	-	-					
06281	0.1	1.0	1.1	-	-	-	-	-					
06282	0.8	3.4	4.2	-	-	-	-	-					
06283	1.4	4.1	5.5	-	-	-	-	-					
06284	1.4	3.8	5.2	-	-	-	-	-					
06285	0.6	5.7	6.3	-	-	-	-	-					
06286	0.1	1.3	1.4	-	-	-	-	-					
06287	0.2	2.1	2.3	-	-	-	-	-					
06288	0.3	1.9	2.2	-	-	-	-	-					
06289	0.1	1.4	1.5	-	-	-	-	-					
06290	0.2	1.4	1.6	-	-	-	-	-					
06291	0.1	1.2	1.3	-	-	-	-	-					
06292	0.2	1.3	1.5	-	-	-	-	-					
06293	1.3	4.6	5.9	-	-	-	-	-					
06294	0.8	2.7	3.5	-	-	-	-	-					
06401	-	-	9.8	-	-	-	-	-					
06295	3.1	3.9	7.0	-	-	-	-	-					
06296	3.3	2.1	5.4	-	-	-	-	-					
06297	3.2	2.8	6.0	-	-	-	-	-					
06298	0.4	2.7	3.1	-	-	-	-	-					
06299	0.4	3.0	3.4	-	-	-	-	-					
06300	1.3	6.5	7.8	-	-	-	-	-					
06301	0.9	6.9	7.8	-	-	-	-	-					
06302	0.9	6.9	7.8	-	-	-	-	-					
06303	0.1	3.9	4.0	-	-	-	-	-					
06304	0.2	4.0	4.2	-	-	-	-	-					
06305	18.6	2.1	20.7	-	-	-	-	-					
06306	1.3	1.5	2.9	-	-	-	-	-					
06307	9.1	2.3	11.4	-	-	-	-	-					
06308	0.4	2.1	2.5	-	-	-	-	-					
06309	0.7	1.9	2.6	-	-	-	-	-					
06319	0.3	2.3	2.6	-	-	-	-	-					
06310	0.5	2.0	2.5	-	-	-	-	-					
06311	0.7	2.2	2.9	-	-	-	-	-					
06312	0.1	1.0	1.1	-	-	-	-	-					
06361	0.2	0.9	1.1	-	-	-	-	-					
06313	0.2	1.6	1.8	-	-	-	-	-					
06314	0.5	1.4	1.9	-	-	-	-	-					
06315	0.6	1.4	2.0	-	-	-	-	-					
06362	0.4	1.5	2.0	-	-	-	-	-					
06316	0.4	1.5	1.9	-	-	-	-	-					
06317	0.2	1.8	2.0	-	-	-	-	-					
06318	0.2	2.1	2.3	-	-	-	-	-					
06371	0.3	2.0	2.3	-	-	-	-	-					
06320	0.3	2.5	2.8	-	-	-	-	-					
06321	1.2	1.9	3.1	-	-	-	-	-					
06322	0.8	3.6	4.4	-	-	-	-	-					
06323	1.0	1.7	2.7	-	-	-	-	-					
06324	0.8	2.8	3.6	-	-	-	-	-					
06325	0.5	2.5	3.0	-	-	-	-	-					
06326	10.0	48.0	58.0	-	-	-	-	-					
06382	-	-	-	0.3	1.0	4.6	0.4	5.9	原材料配合割合から推計				
06383	-	-	-	0.4	1.1	5.1	0.5	6.5	原材料配合割合から推計				
06384	-	-	-	0.3	1.1	4.5	0.6	5.9	原材料配合割合から推計				
06399	-	-	-	Tr	0.4	0.5	-	0.9					
06400	-	-	-	0.1	0.6	0.3	-	1.0					
07001	0.6	0.5	1.1	-	-	-	-	-					
07002	1.4	1.7	3.1	-	-	-	-	-					
07181	-	-	-	0.1	0.9	3.8	-	4.7					
07003	0.8	1.1	1.9	-	-	-	-	-					
07159	0.8	1.1	1.9	-	-	-	-	-					
07004	0.1	0.1	0.2	-	-	-	-	-					
07005	0.7	2.6	3.3	-	-	-	-	-					
07006	1.7	3.9	5.6	-	-	-	-	-					
07007	0.6	1.0	1.6	-	-	-	-	-					
07008	4.3	5.5	9.8	-	-	-	-	-					
07009	0.4	0.4	0.8	-	-	-	-	-					
07010	0.5	0.2	0.7	-	-	-	-	-					
07011	0.9	0.3	1.2	-	-	-	-	-					
07012	0.5	0.9	1.4	-	-	-	-	-					
07013	0.7	0.6	1.3	-	-	-	-	-					
07014	0.7	0.4	1.1	-	-	-	-	-					
07160	1.2	1.7	3.0	-	-	-	-	-					
07015	0.7	1.2	1.9	-	-	-	-	-					
07016	3.4	7.3	10.7	-	-	-	-	-					
07017	0.6	0.6	1.2	-	-	-	-	-					
07019	0.9	1.6	2.5	-	-	-	-	-					
07020	1.1	1.6	2.7	-	-	-	-	-					
07021	1.2	2.2	3.4	-	-	-	-	-					
07022	1.4	2.2	3.3	-	-	-	-	-					
07023	1.3	1.2	2.5	-	-	-	-	-					
07024	0.5	0.8	1.3	-	-	-	-	-					
07025	0.1	0	0.1	-	-	-	-	-					
07037	0.2	3.1	3.3	-	-	-	-	-					
07038	0.4	2.1	2.5	-	-	-	-	-					
07039	0.8	2.9	3.7	-	-	-	-	-					
07049	0.2	1.4	1.6	-	-	-	-	-					
07050	0.5	2.3	2.8	-	-	-	-	-					
07051	1.3	12.7	14.0	-	-	-	-	-					
07053	0.9	8.0	8.9	-	-	-	-	-					
07018	0.5	0.6	1.1	-	-	-	-	-					
07026	0.3	0.4	0.7	-	-	-	-	-					
07027	0.5	0.5	1.0	-	-	-	-	-					
07028	0.2	0.2	0.4	-	-	-	-	-					
07029	0.2	0.2	0.4	-	-	-	-	-					
07030	0	0	0	-	-	-	-	-					
07031	0	0	0	-	-	-	-	-					
07032	Tr	0	Tr	-	-	-	-	-					
07033	0.1	0	0.1	-	-	-	-	-					
07034	0	0	0	-	-	-	-	-					
07035	0.2	0.3	0.5	-	-	-	-	-					
07036	0	0	0	-	-	-	-	-					
07040	0.4	0.6	1.0	-	-	-	-	-					
07041	0.3	0.5	0.8	-	-	-	-	-					
07042	0.2	0.1	0.3	-	-	-	-	-					
07043	0.2	Tr	0.2	-	-	-	-	-					
07044	0.1	Tr	0.1	-	-	-	-	-					
07045	0	Tr	Tr	-	-	-	-	-					
07046	0.5	0.2	0.7	-	-	-	-	-					
07047	0.9	0.4	1.3	-	-	-	-	-					
07161	0.3	0.5	0.8	-	-	-	-	-					
07048	0.3	0.6	0.9	-	-	-	-	-					
07052	0.1	0	0.1	-	-	-	-	-					
07162	0.3	0.3	0.6	-	-	-	-	-					
07163	0.3	0.3	0.6	-	-	-	-	-					
07056	2.3	2.3	4.6	-	-	-	-	-					
07062	0.2	0.4	0.6	-	-	-	-	-					
07164	0.2	0.4	0.6	-	-	-	-	-					
07063	0.1	0	0.1	-	-	-	-	-					
07064	0.2	0	0.2	-	-	-	-	-					
07065	0.1	0	0.1	-	-	-	-	-					
07066	0	0	0	-	-	-	-	-					
07067	0.4	0.2	0.6	-	-	-	-	-					
07074	0.3	0.6	0.9	-	-	-	-	-					
07075	0.3	0	0.3	-	-	-	-	-					
07076	0	0	0	-	-	-	-	-					
07165	0.3	0.3	0.6	-	-	-	-	-					
07078	2.8	7.3	10.1	-	-	-	-	-					
07079	0.1	Tr	0.1	-	-	-	-	-					
07166	0.4	0.3	0.7	-	-	-	-	-					
07085	0.3	0.5	0.8	-	-	-	-	-					
07083	0	0	0	-	-	-	-	-					
07093	0.4	0.8	1.2	-	-	-	-	-					
07094	0.3	0.2	0.5	-	-	-	-	-					
07105	0.2	1.3	1.5	-	-	-	-	-					
07167	0.4	0.4	0.8	-	-	-	-	-					
07112	1.0	1.1	2.1	-	-	-	-	-					
07113	0.3	0.4	0.7	-	-	-	-	-					
07126	0.3	0.6	0.9	-	-	-	-	-					
07127	1.3	1.4	2.7	-	-	-	-	-					
07129	0.4	0.6	1.0	-	-	-	-	-					
07142	3.3	3.6	6.9	-	-	-	-	-					
07143	0.3	0.1	0.4	-	-	-	-	-					
07145	0.2	0	0.2	-	-	-	-	-					
07155	2.0	2.9	4.9	-	-	-	-	-					
07156	Tr	0	Tr	-	-	-	-	-					
07054	0.6	2.0	2.6	-	-	-	-	-					
07168	0.5	0.9	1.4	-	-	-	-	-					
07055	0.6	2.0	2.6	-	-	-	-	-					
07057	0.7	4.4	5.1	-	-	-	-	-					
07169	0.7	4.4	5.1	-	-	-	-	-					
07058	0.2	0.6	0.8	-	-	-	-	-					
07059	0	0.2	0.2	-	-	-	-	-					
07061	0.2	1.8	2.0	-	-	-	-	-					
07157	0	0	0	-	-	-	-	-					
07158	0.2	0	0.2	-	-	-	-	-					
07170	Tr	0.5	0.5	-	-	-	-	-					
07070	0.1	1.1	1.2	-	-	-	-	-					
07071	0.6	0.8	1.4	-	-	-	-	-					
07072	0.6	0.4	1.0	-	-	-	-	-					
07073	0	0	0	-	-	-	-	-					
07077	0.1	0.2	0.3	-	-	-	-	-					
07171	0.1	0.2	0.3	-	-	-	-	-					
07186	-	-	-	Tr	0.7	2.0	-	2.8					
07182	-	-	-	0.1	0.5	5.8	-	6.4					
07060	0.7	1.8	2.5	-	-	-	-	-					
07069	0.4	1.4	1.8	-	-	-	-	-					
07080	0.4	1.2	1.6	-	-	-	-	-					
07081	0.9	1.0	1.9	-	-	-	-	-					
07082	3.4	3.8	7.1	-	-	-	-	-					
07086	0.8	1.4	2.2	-	-	-	-	-					
07111	0.3	1.6	1.9	-	-	-	-	-					
07087	0.7	1.4	2.1	-	-	-	-	-					
07088	0.2	0.7	0.9	-	-	-	-	-					
07089	0.1	0.6	0.7	-	-	-	-	-					
07090	0.3	1.1	1.4	-	-	-	-	-					
07091	0.7	1.2	1.9	-	-	-	-	-					
07092	0.4	0.6	1.0	-	-	-	-	-					
07095	2.7	9.8	12.5	-	-	-	-	-					
07096	1.5	5.5	7.0	-	-	-	-	-					
07097	0.2	1.0	1.2	-	-	-	-	-					
07177	0.2	1.5	1.7	-	-	-	-	-					
07098	0	0	0	-	-	-	-	-					
07099	0	0	0	-	-	-	-	-					
07100	0	0	0	-	-	-	-	-					
07101	0	0	0	-	-	-	-	-					
07102	0	0.5	0.5	-	-	-	-	-					
07103	0	1.3	1.3	-	-	-	-	-					
07104	0.6	1.5	2.1	-	-	-	-	-					
07106	0	0	0	-	-	-	-	-					
07107	0.1	1.0	1.1	-	-	-	-	-					
07108	2.0	5.0	7.0	-	-	-	-	-					
07109	0.7	1.5	2.2	-	-	-	-	-					
07110	0.4	1.8	2.2	-	-	-	-	-					
07114	0.4	1.2	1.6	-	-	-	-	-					
07115	0.3	0.3	0.6	-	-	-	-	-					
07116	0.2	0.3	0.5	-	-	-	-	-					
07178	0.2	0.6	0.9	-	-	-	-	-					
07187	-	-	0	Tr	0.4	0.5	-	0.9					
07117	1.2	2.9	4.1	-	-	-	-	-					
07118	0.1	Tr	0.1	-	-	-	-	-					
07119	0.1	Tr	0.1	-	-	-	-	-					
07120	0.1	Tr	0.1	-	-	-	-	-					
07121	Tr	0	Tr	-	-	-	-	-					
07122	0.2	0	0.2	-	-	-	-	-					
07123	1.0	0.5	1.5	-	-	-	-	-					
07124	0.5	2.8	3.3	-	-	-	-	-					
07125	0.5	3.8	4.3	-	-	-	-	-					
07172	3.0	14.7	17.6	-	-	-	-	-					
07128	1.8	1.3	3.1	-	-	-	-	-					
07130	0.4	0.6	1.0	-	-	-	-	-					
07173	0.4	0.6	1.0	-	-	-	-	-					
07131	0.7	4.4	5.1	-	-	-	-	-					
07132	0.6	0.7	1.3	-	-	-	-	-					
07179	2.8	3.6	6.4	-	-	-	-	-					
07133	0.5	0.9	1.4	-	-	-	-	-					
07134	0.2	0.3	0.5	-	-	-	-	-					
07135	0.2	0.3	0.5	-	-	-	-	-					
07174	0.2	0.3	0.5	-	-	-	-	-					
07136	0.6	0.7	1.3	-	-	-	-	-					
07184	-	-	-	0.1	0.9	0.9	-	1.9					
07137	0.2	0.2	0.4	-	-	-	-	-					
07138	0.5	0.9	1.4	-	-	-	-	-					
07175	0.5	0.9	1.4	-	-	-	-	-					
