NB2020 [media] data (yossy) 2026-01-08
user	code	origin	base	type	date	zidx	alt
yossy	yo-p-0f3c-9f54-1ccb-75eb	yo-r-bWRSH59G4aTapr3uPRrI	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-0f8df93fd2e98e243d34	yo-r-64db0fe662dee0738936	recipe	jpg	2022-06-08 06:15:07 +0900		K1SI6135.JPG
yossy	yo-p-0f9c-2192-1d58-23fd	yo-r-ioSAt6486SicgycvUlRW	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1092-fe16-c8e4-ade1	yo-r-moHHd7gv8qIaXTacJM2y	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-10c3-7745-3b46-2e3a	yo-r-3573-3401-dd83-2f8f	recipe	jpg	2021-04-24 17:01:51 +0900		K1SI5348_DxO.jpg
yossy	yo-p-111a-99b7-028d-649c	yo-r-a58a-218f-2642-7dca	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-113e-219e-bc0b-5b28	yo-r-VhCCixDb7VXgGOZnBuKI	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-11ae-a39e-9bce-aafe	yo-r-e3UE06SwLTIYwMohPrBx	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-11c64af51f4ed1398d69	yo-r-mmVxahQPPPT1HBhLS19y	recipe	jpg	2022-02-11 11:51:54 +0900		K1SI5807.JPG
yossy	yo-p-11e7-369a-050f-2db5	yo-r-gmeacA2HnKZD0awgbHTM	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-11liwfTIBhzlvQBT90TL	yo-r-uoLmTNIdY7KTqsuHhKkz	recipe	jpeg	2024-05-15 06:34:36 +0900	0	おかず生姜
yossy	yo-p-1203-7c0e-9ce4-8ef6	yo-r-4DsIPbxm25Ku2OZcSon0	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-120b-8b09-4306-fc80	yo-r-zz0teTGCGv2KFVFu1TuB	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1245-4e34-a0e9-04b7	yo-r-Db6lU6nMC9XyLjqwsP6m	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-12a7-f8c1-8ca2-11e2	yo-r-3ucmqtP99txpcgqKL85L	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-12bf-3f72-4b3e-58d9	yo-r-0bVLMJ2Imhi1ovMbgVQG	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1327-3207-86db-8097	yo-r-5d87-3b4d-b3fe-fe5b	recipe		2021-06-10 14:43:48 +0900		K1SI5516.JPG
yossy	yo-p-132a-ccf4-53c1-d5cc	yo-r-PeIVXAHS27hHw6zxu4Q7	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-13e4-5447-336e-d6c2	yo-r-edlMARli3fbG7rAh0TcC	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1426-72fd-c837-ddf9	yo-r-7FRy7Xaj1AR0miBkVUcP	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-14d5c492a8357c0843a8	yo-r-2424af755ef26c6936c4	recipe	jpg	2022-10-29 12:09:31 +0900		K1SI6281.JPG
yossy	yo-p-151d-ee68-dcbb-7ee9	yo-r-FD0lulzTtc5fUvyp85MW	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-154c-7f98-3d93-0ff9	yo-r-65e0-a382-a989-eaac	recipe		2021-06-28 21:35:29 +0900		IMGP0081.JPG
yossy	yo-p-155c-48a6-c0f7-2d0d	yo-r-8090-2712-d98b-e854	recipe	jpg	2021-05-08 20:29:41 +0900		K1SI5451.JPG
