FN	FORAC	ACEAC	GLYCLAC	LACAC	GLUCAC	OXALAC	MOLAC	SUCAC	FUMAC	MALAC	TARAC	GLUAKAC	CITAC	SALAC	PCHOUAC	CAFFAC	FERAC	CHLRAC	QUINAC	OROTAC	PYROGAC	PROPAC	OA	NoticeOA
02021	-	-	-	-	0	0.1	-	0	0	0.3	-	-	1.1	-	-	-	-	-	Tr	-	-	-	1.5	
02022	-	-	-	-	-	Tr	-	0	-	0.1	-	-	0.5	-	-	-	-	-	-	-	-	-	0.7	
02026	-	-	-	-	-	Tr	-	0	-	0.1	-	-	0.3	-	-	-	-	-	-	-	-	-	0.4	
02027	-	-	-	-	-	0	-	0	-	0.2	-	-	0.4	-	-	-	-	-	-	-	-	-	0.5	
02070	-	-	0	-	-	0	-	0	-	0	-	-	0	-	-	-	-	-	-	-	-	-	0	
03031	-	-	0	-	-	0	-	-	-	0	-	-	0	-	-	-	-	-	-	-	-	-	0	
03032	-	-	0	-	-	0	-	-	-	0	-	-	0	-	-	-	-	-	-	-	-	-	0	
03022	-	-	-	-	0.3	-	-	-	-	Tr	-	0	0	-	-	-	-	-	-	-	-	-	0.3	
03033	-	-	-	-	0.3	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0.3	
04001	-	-	-	-	-	Tr	-	-	-	0.1	-	-	1.1	-	-	-	-	-	-	-	-	-	1.2	
04002	-	-	-	-	-	0	-	-	-	Tr	-	-	0.3	-	-	-	-	-	-	-	-	-	0.3	
04111	-	-	-	-	-	Tr	-	0	-	0	-	-	0.1	-	-	-	-	-	0	-	-	-	0.1	
04112	-	-	-	-	-	0	-	-	-	0	-	-	Tr	-	-	-	-	-	-	-	-	-	Tr	
04104	-	-	0	-	-	Tr	-	-	-	0.1	-	-	1.5	-	-	-	-	-	-	-	-	-	1.6	
04105	-	-	-	-	-	Tr	-	-	-	Tr	-	-	0.3	-	-	-	-	-	-	-	-	-	0.3	<br>
04023	-	-	-	-	-	0.1	-	-	-	0.1	-	-	1.5	-	-	-	-	-	-	-	-	-	1.7	
04024	-	-	-	-	-	Tr	-	-	-	Tr	-	-	0.3	-	-	-	-	-	-	-	-	-	0.4	
04077	-	-	0	-	-	0.1	-	-	-	0.1	-	-	1.5	-	-	-	-	-	-	-	-	-	1.6	
04106	-	-	-	-	-	Tr	-	-	-	Tr	-	-	0.3	-	-	-	-	-	-	-	-	-	0.3	
04080	-	-	0	-	-	0.1	-	0	-	0.1	-	-	1.7	-	-	-	-	-	-	-	-	-	1.8	
04078	-	-	0	-	-	0.1	-	0	-	0.1	-	-	1.6	-	-	-	-	-	-	-	-	-	1.8	
